gap_id,phase,module,severity,gap_type,evidence,impact,recommended_repair,controller_decision_required
GAP-001,P1,gates.py,P1,missing_test,"pytest not installed; 40 tests unverified","All P0 fixes are unverified at runtime","Install pytest and run all Phase 1 tests",NO
GAP-002,P4,.claude/skills/,P1,missing_code,"Claude Code skill not found in expected location","Writer could write without validated package","Locate or create cer-authoring-section-writer skill with runtime assertions",YES
GAP-003,P3,BIGDP2026_6/expert_logic_pack/,P1,doc_only,"10 expert YAML files exist but not consumed by runtime","Expert reasoning is documentation-only, not executable","Import decision tables into ledger nodes; add fixture-driven tests",YES
GAP-004,P3,BIGDP2026_6/expert_scenario_fixtures/,P1,doc_only,"8 scenario fixtures exist but not referenced by tests","Scenarios are dead artifacts","Write test_expert_scenario_fixtures.py that loads each fixture and asserts expected output",NO
GAP-005,P1,environment,P0,env_blocked,"pytest not installed; Python import errors possible","Cannot verify any test passes","Install pytest and run tests before continuing",NO
GAP-006,P4,graph.py export node,P2,partial_runtime,"cer_package_validator.py exists but integration not verified","Orphan references might slip through export","Verify validator is called in _node_cer_input_package_export; add integration test",NO
GAP-007,P3,source_preflight.py,P2,not_implemented,"Still 2-tier (blocking/controlled); 4-tier not implemented","WARNING and AUTO_FIXABLE tiers missing","Implement CRITICAL/MAJOR/WARNING/AUTO_FIXABLE in source_preflight and update intake state machine",NO
GAP-008,P5,benchmark_domains.yaml,P2,not_tested,"Config exists but no end-to-end test for unknown domain","Adding domain may still require code change","Write test: new domain in YAML → benchmark generated without code change",NO
GAP-009,P2,_node_build_reasoning_ledger,P2,partial_runtime,"Ledger populated from existing artifacts, not expert rules","Conclusion strength may not reflect expert judgment","Import CLAIM_CLASSIFICATION_DECISION_TABLE and CONCLUSION_STRENGTH_DECISION_TABLE into node",NO
GAP-010,P2,_node_build_ifu_evolution_ledger,P2,partial_runtime,"Marketing claim detection is heuristic, not rule-driven","IFU marketing language may slip into CER","Import IFU_CLAIM_TRANSFORMATION_RULES into node; write semantic test with marketing claim fixture",NO
GAP-011,P6,cer_review/,P2,unclear_scope,"8 v5 Review files added; scope unclear","May be experimental or parallel project","Clarify whether v5 files are part of BIGDP2026.6 or separate track",YES
GAP-012,P1,graph.py:191,P2,unsafe_behavior,"ValueError raised but not logged to state","Human gate error is lost if not caught by UI","Add error logging to gate_routing_trace before raising",NO
GAP-013,P4,schemas/,P3,missing_code,"package_schema_version not found in export or validator","Version mismatch between DeerFlow and Claude Code possible","Add package_schema_version to export and validator; maintain supported versions list",NO
GAP-014,P7,all,P0,env_blocked,"No tests executed; no dry-run performed","Cannot verify end-to-end correctness","Run pytest + dry-run on sample project before Phase 7 acceptance",NO
GAP-015,P3,G46,P2,partial_runtime,"4 of 9 conditions fallback to PASS with note","These conditions are not fully evaluated","Implement real evaluators for remaining 4 conditions",NO
