project_id,folder_name,path,device_type_if_inferable,has_IFU,has_RMF,has_GSPR,has_CER,has_SOTA_or_literature,has_fulltext_or_literature_pack,has_NB_feedback,has_engineer_feedback,has_final_accepted_version,has_revision_diff_or_before_after,likely_use,defect_coverage_candidates,reason,confidence,evidence_basis
CAND-001,108.江苏南驰,/Users/winstonwei/CER-RAG/Source/项目文件夹/108.江苏南驰/,血管闭合器/iTClamp类（inferred）,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY（工程师反馈来源项目）,UNKNOWN,UNKNOWN,calibration,DC-1/2/3/4/5/6/7/8/9/10（coverage depends on deep scan verification）,"Engineer feedback 中明确提到 iTClamp、PMID 31539432、PMID 32209132 — strongest Golden Feedback Pack candidate; actual defect coverage pending Owner confirmation and deep scan",MEDIUM,folder_structure + engineer_feedback_context
CAND-002,11. 北京海杰亚,/Users/winstonwei/CER-RAG/Source/项目文件夹/11. 北京海杰亚/,微波治疗仪/消融针,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,calibration,DC-4/5/6/8/10,"有 PROJECT_FILE_MANIFEST.csv, STAGING directory, text_pdf files",MEDIUM,folder_structure + manifest_sample
CAND-003,CER-PJT-0502,/Users/winstonwei/Documents/Playground/deer-flow/artifacts/cer/CER-PJT-0502/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,LIKELY（CER_REVIEW_REPORT.md exists）,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,calibration,DC-1/2/4/8/9,"完整 EP-001~005 输入结构 + round_001/artifacts + CER_REVIEW_REPORT.md + project_profile.yaml",HIGH,folder_structure + content_sample
CAND-004,CER-PJT-0424,/Users/winstonwei/Documents/Playground/deer-flow/artifacts/cer/CER-PJT-0424/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,calibration,DC-1/2/4/8/9,"EP-001~005 输入结构 + project_profile.yaml",MEDIUM,folder_structure
CAND-005,CER-PJT-0003,/Users/winstonwei/Documents/Playground/deer-flow/artifacts/cer/CER-PJT-0003/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,holdout,DC-4/8/10,"EP 输入结构 + project_profile.yaml",MEDIUM,folder_structure
CAND-006,101.深圳爱博,/Users/winstonwei/CER-RAG/Source/项目文件夹/101.深圳爱博/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,stress_or_holdout,DC-4/5/8,"标准 MANIFEST + STAGING 结构",MEDIUM,folder_structure
CAND-007,104.中航电测,/Users/winstonwei/CER-RAG/Source/项目文件夹/104.中航电测/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,stress_or_holdout,DC-4/5/8,"标准 MANIFEST + STAGING 结构",MEDIUM,folder_structure
CAND-008,106. 北京万孛力,/Users/winstonwei/CER-RAG/Source/项目文件夹/106. 北京万孛力/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,stress_or_holdout,DC-4/5/8,"标准 MANIFEST + STAGING 结构",MEDIUM,folder_structure
CAND-009,109.无锡康友,/Users/winstonwei/CER-RAG/Source/项目文件夹/109.无锡康友/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,stress_or_holdout,DC-4/5/8,"标准 MANIFEST + STAGING 结构",MEDIUM,folder_structure
CAND-010,CER_D11,/Users/winstonwei/Documents/Playground/deer-flow/artifacts/cer/CER-D11-NATIVE-PILOT-SMOKE/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,stress,DC-4/5/10,"PILOT/SMOKE 类项目",LOW,folder_structure
CAND-011,CER_D6,/Users/winstonwei/Documents/Playground/deer-flow/artifacts/cer/CER-D6-REAL-PROJECT/,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,holdout,DC-4/8/10,"REAL-PROJECT 迭代项目",LOW,folder_structure
