asset_id,asset_name,target_upgrade,target_batch,target_stage,dc_or_score_area,status,source_path,evidence_level,dataset_role,blocks_path_A,caps_score_if_missing,ready_for_claude_code,notes
V3E1,E1_PMID_CLINICAL_FACT_VERIFICATION,U1,E,S5,clinical_fact_traceability,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,clinical_fact_registry_v2 capped at heuristic,yes,"62 facts, needs PMID verification"
V3E2,E2_DENOMINATOR_SUBGROUP_LABELS,U1,E,S5,denominator_correctness,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,subgroup detector capped at heuristic,yes,"12 labels, needs expert verification"
V3E3,E3_TABLE_FIGURE_EXTRACTION_CANDIDATES,U1,E,S5,table_figure_extraction,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,filename_only,calibration,no,table extraction limited,yes,"12 candidates, needs liteparse validation"
V3E4,E4_FOLLOWUP_AE_SEVERITY,U1,E,S5,followup_AE_severity,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,AE severity capped at heuristic,yes,"10 examples, needs severity grading verification"
V3F1,F1_CLAIM_EVIDENCE_SEMANTIC_SUPPORT,U2,F,S8,claim_evidence_semantic_support,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,semantic validator capped at heuristic,yes,"12 links, needs expert semantic review"
V3F2,F2_EQUIVALENCE_ANALYSIS_ASSETS,U3,F,S7,equivalence_assessment,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,equivalence gate capped at derived validation,yes,"5 analyses, needs 3-dim verification"
V3F3,F3_EQUIVALENT_EVIDENCE_LIMITATIONS,U3,F,S7,equivalence_evidence_limitation,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,limitation propagation capped at heuristic,yes,"5 examples, needs CER text verification"
V3G1,G1_ENDPOINT_DOMAIN_TEMPLATE_EVIDENCE,U4,G,S6,endpoint_domain_template,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,domain template capped at heuristic,yes,24 endpoints across 9 domains
V3G2,G2_COMPARATOR_BENCHMARK_EVIDENCE,U4,G,S6,comparator_benchmark_completeness,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,benchmark completeness capped at heuristic,yes,"14 comparators, needs CI verification"
V3G3,G3_BENEFIT_TO_EVIDENCE_CROSSWALK,U5,G,S10,benefit_evidence_crosswalk,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,BR crosswalk capped at derived validation,yes,12 benefit claims
V3G4,G4_RISK_TO_MITIGATION_CROSSWALK,U5,G,S10,risk_mitigation_crosswalk,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,risk crosswalk capped at derived validation,yes,"10 risks, 2 missing mitigation"
V3G5,G5_GSPR_CLINICAL_CLAUSE_MATRIX,U5,G,S10,GSPR_clinical_clause_mapping,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,GSPR mapping capped at heuristic,yes,10 clause mappings
V3G6,G6_UNRESOLVED_UNCERTAINTY_REGISTER,U5,G,S10,unresolved_uncertainty_register,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,extracted_from_report,calibration,no,uncertainty register capped at heuristic,yes,7 uncertainties
V3H1,H1_REPRESENTATIVE_CER_TEXTS,U6,H,S12,writer_prose_quality,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,accepted_revision_derived,calibration,no,Writer QA capped at Level 2 historical,yes,15 CER texts (Level 2)
V3H2,H2_WRITER_QA_KNOWN_ISSUES,U6,H,S12,writer_prose_QA,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,accepted_revision_derived,calibration,no,prose QA capped at heuristic,yes,13 issue labels
V3H3,H3_VALIDATION_PROJECT_READINESS,U6,H,Final,validation_readiness,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,folder_structure,holdout,no,holdout validation partial,yes,"6 projects, 4 holdout"
V3REG,REGULATORY_RULE_EXTRACTION_TARGETS,cross,regulatory,all,regulatory_compliance,READY,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V3/assets/patch_A_tier2/...,source_verified,calibration,no,N/A,yes,8 core regulatory files mapped
