target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,risk_id,risk_description,mitigation_measure,residual_risk,linked_RMF_source,linked_IFU_warning,linked_clinical_evidence_or_rationale,risk_has_mitigation,missing_mitigation_flag
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/{RMF,IFU,CER}/*",Risk Management,Risk: Ureteral perforation | Mitigation: Pre-operative imaging + gentle technique,extracted_from_report,medium,calibration_only,yes,,RISK_001,Ureteral perforation,Pre-operative imaging + gentle technique,Low,RMF_3.2,IFU_Section_4.1,Literature rate 2.5%,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/{RMF,IFU,CER}/*",Risk Management,Risk: Infection | Mitigation: Prophylactic antibiotics,extracted_from_report,medium,calibration_only,yes,,RISK_002,Infection,Prophylactic antibiotics,Low,RMF_3.5,IFU_Section_4.3,Standard of care,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_016,Project 016,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/{RMF,IFU,CER}/*",Risk Management,Risk: Inadequate hemostasis | Mitigation: Backup hemostasis method available,extracted_from_report,medium,calibration_only,yes,,RISK_003,Inadequate hemostasis,Backup hemostasis method available,Low,RMF_2.1,IFU_Section_5,Device abandonment rate 5.6%,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/{RMF,IFU,CER}/*",Risk Management,Risk: Skin irritation | Mitigation: Rotation of sensor site,extracted_from_report,medium,calibration_only,yes,,RISK_004,Skin irritation,Rotation of sensor site,Moderate,RMF_4.1,IFU_Section_3.2,Rate 11.5% in studies,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/{RMF,IFU,CER}/*",Risk Management,Risk: Sensor dislodgement | Mitigation: Adhesive patch reinforcement,extracted_from_report,medium,calibration_only,yes,Missing mitigation,RISK_005,Sensor dislodgement,Adhesive patch reinforcement,Low,,,No formal RMF/IFU link found,partial,yes
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,stress,crosswalk,HEURISTIC_ONLY,PROJECT_033,Project 033,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/{RMF,IFU,CER}/*",Risk Management,Risk: Hypoglycemia unawareness | NO MITIGATION,extracted_from_report,medium,calibration_only,yes,Missing mitigation,RISK_006,Hypoglycemia unawareness,,High,,,No mitigation documented,no,yes
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,stress,crosswalk,HEURISTIC_ONLY,PROJECT_004,Project 004,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/{RMF,IFU,CER}/*",Risk Management,Risk: Device failure during shock | Mitigation: Battery monitoring + maintenance,extracted_from_report,medium,calibration_only,yes,,RISK_007,Device failure during shock,Battery monitoring + maintenance,Low,RMF_1.1,IFU_Section_6,Malfunction rate 3.3%,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_024,Project 024,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/{RMF,IFU,CER}/*",Risk Management,Risk: Valve migration | Mitigation: Appropriate sizing + imaging,extracted_from_report,medium,calibration_only,yes,,RISK_008,Valve migration,Appropriate sizing + imaging,Low,RMF_2.3,IFU_Section_4,Migration rate <2%,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_030,Project 030,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/{RMF,IFU,CER}/*",Risk Management,Risk: Access site complication | Mitigation: Ultrasound guidance,extracted_from_report,medium,calibration_only,yes,,RISK_009,Access site complication,Ultrasound guidance,Low,RMF_3.1,IFU_Section_4.2,Rate 7.8%,yes,no
G,U5,S10,BR_GSPR,risk_mitigation_crosswalk,holdout,crosswalk,DERIVED_VALIDATION,PROJECT_037,Project 037,"/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/{RMF,IFU,CER}/*",Risk Management,Risk: Restenosis | Mitigation: Antiplatelet therapy + follow-up,extracted_from_report,medium,holdout_only,no,,RISK_010,Restenosis,Antiplatelet therapy + follow-up,Moderate,RMF_2.5,IFU_Section_5,2-year restenosis rate 27.7%,yes,no
