target_batch,target_upgrade,target_stage,target_dc,score_area,dataset_role,absorption_type,closure_level_supported,project_id,project_name,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,GSPR_clause,clinical_claim_or_requirement,evidence_source,rationale,gap,PMCF_or_limitation_disposition
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Device achieves intended purpose,extracted_from_report,medium,calibration_only,yes,,GSPR_1,Device achieves intended purpose,CER_Section_7.2,Stone-free rate 87.5%,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_012,Project 012,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/GSPR/*,GSPR GSPR_2,Clause GSPR_2: Risks acceptable vs benefits,extracted_from_report,medium,calibration_only,yes,,GSPR_2,Risks acceptable vs benefits,BR_Section_4,Benefit-risk ratio favorable,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_016,Project 016,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Hemostasis achieved in >90%,extracted_from_report,medium,calibration_only,yes,,GSPR_1,Hemostasis achieved in >90%,CER_Section_6.1,Hemostasis 94.4%,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Glucose monitoring accuracy,extracted_from_report,medium,calibration_only,yes,,GSPR_1,Glucose monitoring accuracy,CER_Section_8.1,MARD 9.1%,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_032,Project 032,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/GSPR/*,GSPR GSPR_3,Clause GSPR_3: Long-term biocompatibility,extracted_from_report,medium,calibration_only,yes,Gap: yes | Disposition: PMCF_Study_3yr,GSPR_3,Long-term biocompatibility,,Limited long-term data,yes,PMCF_Study_3yr
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,stress,crosswalk,HEURISTIC_ONLY,PROJECT_033,Project 033,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Hypoglycemia detection,extracted_from_report,medium,calibration_only,yes,Gap: partial | Disposition: Limitation_Statement,GSPR_1,Hypoglycemia detection,CER_Section_5,HR 0.72 for hypoglycemia,partial,Limitation_Statement
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,stress,crosswalk,HEURISTIC_ONLY,PROJECT_004,Project 004,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Defibrillation efficacy,extracted_from_report,medium,calibration_only,yes,,GSPR_1,Defibrillation efficacy,CER_Section_6,ROSC 68.2%,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_024,Project 024,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_024_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Valve function durability,extracted_from_report,medium,calibration_only,yes,Gap: partial | Disposition: PMCF_5yr_Followup,GSPR_1,Valve function durability,CER_Section_7,1-year survival 78.2%,partial,PMCF_5yr_Followup
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,calibration,crosswalk,HEURISTIC_ONLY,PROJECT_030,Project 030,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_030_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Hemodynamic improvement,extracted_from_report,medium,calibration_only,yes,,GSPR_1,Hemodynamic improvement,CER_Section_6,82.4% improvement,no,N/A
G,U5,S10,BR_GSPR,GSPR_clinical_clause_mapping,holdout,crosswalk,DERIVED_VALIDATION,PROJECT_037,Project 037,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_037_*/GSPR/*,GSPR GSPR_1,Clause GSPR_1: Patency maintenance,extracted_from_report,medium,holdout_only,no,,GSPR_1,Patency maintenance,CER_Section_7,88.5% primary patency,no,N/A
