asset_id,asset_name,target_P0,target_batch,target_route,status,source_path,evidence_level,dataset_role,blocks_V4_implementation,caps_expert_validation,ready_for_claude_code,notes
V4REG,REGULATORY_STRATEGY_RULE_LEDGER,cross,regulatory,all,READY,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,regulatory_clause,calibration,no,N/A,yes,14 core rules mapped
V4I1,I1_STRATEGY_ROUTE_EXAMPLES,P0-1,I,all,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,strategy_router capped at heuristic,yes,21 route examples
V4I2,I2_EVIDENCE_BURDEN_FACTORS,P0-2,I,all,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,evidence_burden capped at heuristic,yes,15 burden factors
V4I3,I3_PMCF_CLINICAL_INVESTIGATION_DECISIONS,P0-1,I,PMCF_gap_closure,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,PMCF_decision capped at heuristic,yes,12 PMCF decisions
V4J1,J1_LITERATURE_ROLE_CASES,P0-3,J,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,literature_role capped at heuristic,yes,30 role cases
V4J2,J2_DATA_USE_ELIGIBILITY,P0-3,J,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,data_use capped at heuristic,yes,50 eligibility cases
V4J3,J3_LITERATURE_APPRAISAL_BOUNDARY,P0-3,J,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,appraisal capped at heuristic,yes,15 boundary cases
V4K1,K1_ROUTE_SPECIFIC_CER_BLUEPRINT,P0-4,K,all,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,blueprint capped at heuristic,yes,10 blueprint examples
V4K2,K2_ROUTE_SPECIFIC_WRITER_CONSTRAINTS,P0-4,K,all,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,accepted_revision_derived,calibration,no,writer_constraint capped at heuristic,yes,12 constraint sets
V4K3,K3_ROUTE_SPECIFIC_HUMAN_GATE,P0-4,K,all,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,extracted_from_report,calibration,no,human_gate capped at heuristic,yes,15 human gate cases
V4L1,L1_NB_STRATEGY_CHALLENGES,P0-5,L,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,NB_feedback_explicit,calibration,no,NB_explainability capped at derived,yes,20 challenge cases
V4L2,L2_NB_EXPLAINABILITY_RATIONALE,P0-5,L,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,NB_feedback_explicit,calibration,no,NB_rationale capped at derived,yes,15 rationale examples
V4L3,L3_VALIDATION_CANDIDATES,P0-5,L,cross_route,PARTIAL,/Users/winstonwei/Documents/Playground/deer-flow/BIGDP2026_6V4/assets/strategy_literature_prep/...,folder_structure,holdout,no,validation partial,yes,8 validation candidates
