target_batch,target_P0,target_route,target_stage,target_artifact,absorption_type,closure_level_supported,project_id,project_name,dataset_role,source_file_path,source_page_or_section,source_quote_or_anchor,evidence_level,confidence,locked_status,writer_access_allowed,notes,MDR_class_if_known,invasive,implantable,active_device,novelty_level,risk_profile,claim_strength,intended_purpose_breadth,vulnerable_population,own_data_availability,SOTA_stability,residual_uncertainty,AE_severity,evidence_burden_level,current_evidence_level,sufficiency_decision,gap_type,human_gate_required
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_004,Project 004,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_004_*/CER/*,Evidence Assessment,Burden: very_low | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,no,no,yes,low,moderate,moderate,narrow,general,limited,stable,low,moderate,very_low,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_007,Project 007,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_007_*/CER/*,Evidence Assessment,Burden: very_low | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIa | Risk: low,IIa,no,no,no,low,low,low,narrow,general,limited,stable,low,low,very_low,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_016,Project 016,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_016_*/CER/*,Evidence Assessment,Burden: low | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIa | Risk: moderate,IIa,yes,no,no,low,moderate,moderate,narrow,surgical,yes,stable,low,moderate,low,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_011,Project 011,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_011_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: yes | Gap: long_term,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,yes,yes,no,low,moderate,moderate,narrow,elderly,yes,stable,low,moderate,moderate,sufficient,yes,long_term,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_002,Project 002,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_002_*/CER/*,Evidence Assessment,Burden: high | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,no,no,yes,moderate,moderate,moderate,narrow,cardiac,yes,evolving,moderate,moderate,high,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_003,Project 003,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_003_*/CER/*,Evidence Assessment,Burden: high | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,yes,no,yes,moderate,moderate,moderate,narrow,cardiac,yes,stable,low,moderate,high,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_012,Project 012,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_012_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIa | Risk: moderate,IIa,yes,no,yes,low,moderate,strong,narrow,urology,yes,stable,low,moderate,moderate,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_019,Project 019,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_019_*/CER/*,Evidence Assessment,Burden: high | Sufficiency: conditional | Gap: recurrence_longterm,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,yes,no,yes,moderate,moderate,strong,narrow,urology,yes,stable,moderate,moderate,high,sufficient,conditional,recurrence_longterm,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_022,Project 022,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_022_*/CER/*,Evidence Assessment,Burden: very_high | Sufficiency: yes | Gap: long_term_durability,extracted_from_report,medium,calibration_only,yes,Class III | Risk: high,III,yes,yes,no,high,high,strong,narrow,cardiac,yes,evolving,high,high,very_high,sufficient,yes,long_term_durability,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_023,Project 023,special_evidence,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_023_*/CER/*,Evidence Assessment,Burden: very_high | Sufficiency: conditional | Gap: long_term_outcomes,extracted_from_report,medium,calibration_only,yes,Class III | Risk: very_high,III,yes,yes,yes,high,very_high,strong,life_support,cardiac_shock,yes,emerging,high,very_high,very_high,conditional,conditional,long_term_outcomes,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_025,Project 025,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_025_*/CER/*,Evidence Assessment,Burden: very_high | Sufficiency: no | Gap: efficacy_safety,extracted_from_report,medium,calibration_only,yes,Class III | Risk: very_high,III,yes,yes,yes,high,very_high,strong,brain,neurology,limited,emerging,very_high,high,very_high,insufficient,no,efficacy_safety,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_032,Project 032,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_032_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: conditional | Gap: equivalence_limitation,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,no,no,yes,low,moderate,moderate,chronic,diabetes,limited,stable,moderate,low,moderate,sufficient,conditional,equivalence_limitation,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_033,Project 033,stress,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_033_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: conditional | Gap: partial_equivalence,extracted_from_report,medium,calibration_only,yes,Class IIb | Risk: moderate,IIb,no,no,yes,low,moderate,moderate,chronic,diabetes,limited,stable,moderate,low,moderate,conditional,conditional,partial_equivalence,yes
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,DERIVED_VALIDATION,PROJECT_034,Project 034,holdout,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_034_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: yes | Gap: none,extracted_from_report,medium,holdout_only,no,Class IIb | Risk: high,IIb,no,no,yes,low,high,strong,emergency,general,limited,stable,low,moderate,moderate,sufficient,yes,none,no
I,P0-2,cross_route,evidence_burden,evidence_burden_score,decision_table,HEURISTIC_ONLY,PROJECT_026,Project 026,calibration,/Users/winstonwei/CER-RAG/Source/项目文件夹_L1_CER_NB_PROJECTS_FOR_DEERFLOW/PROJECT_026_*/CER/*,Evidence Assessment,Burden: moderate | Sufficiency: yes | Gap: none,extracted_from_report,medium,calibration_only,yes,Class IIa | Risk: low,IIa,no,no,yes,moderate,low,moderate,diagnostic,general,no,evolving,moderate,low,moderate,sufficient,yes,none,no
